STORE_NBR,YEARMONTH,totSales,nCustomers,nTxn,nChips,nTxnPerCust,nChipsPerTxn,avgPricePerUnit
83,2019-01,847.0,96,126,254,1.3125,2.015873015873016,3.3346456692913384
83,2019-02,765.6,88,105,210,1.1931818181818181,2.0,3.645714285714286
83,2019-03,817.8,96,117,236,1.21875,2.017094017094017,3.465254237288135
83,2019-04,840.0,94,118,240,1.2553191489361701,2.0338983050847457,3.5
83,2019-05,819.5,90,118,234,1.3111111111111111,1.9830508474576272,3.502136752136752
83,2019-06,942.2,99,128,258,1.292929292929293,2.015625,3.6519379844961244
84,2018-07,511.4,55,59,118,1.0727272727272728,2.0,4.3338983050847455
84,2018-08,449.1,54,54,101,1.0,1.8703703703703705,4.4465346534653465
84,2018-09,416.2,46,46,92,1.0,2.0,4.52391304347826
84,2018-10,473.6,49,53,106,1.0816326530612246,2.0,4.467924528301887
84,2018-11,448.8,48,50,100,1.0416666666666667,2.0,4.488
84,2018-12,506.8,53,58,116,1.0943396226415094,2.0,4.36896551724138
84,2019-01,432.6,46,50,100,1.0869565217391304,2.0,4.3260000000000005
84,2019-02,365.6,39,42,86,1.0769230769230769,2.0476190476190474,4.251162790697674
84,2019-03,352.8,39,40,80,1.0256410256410255,2.0,4.41
84,2019-04,434.8,45,50,100,1.1111111111111112,2.0,4.348
84,2019-05,530.2,56,60,117,1.0714285714285714,1.95,4.531623931623932
84,2019-06,474.4,46,52,104,1.1304347826086956,2.0,4.561538461538461
86,2018-07,892.2,99,126,251,1.2727272727272727,1.992063492063492,3.554581673306773
86,2018-08,764.05,94,110,215,1.1702127659574468,1.9545454545454546,3.553720930232558
86,2018-09,914.6,103,128,258,1.2427184466019416,2.015625,3.5449612403100774
86,2018-10,948.4,109,138,276,1.2660550458715596,2.0,3.436231884057971
86,2018-11,918.0,100,125,254,1.25,2.032,3.6141732283464565
86,2018-12,841.2,98,120,240,1.2244897959183674,2.0,3.5050000000000003
86,2019-01,841.4,94,129,260,1.372340425531915,2.0155038759689923,3.236153846153846
86,2019-02,913.2,107,138,277,1.2897196261682242,2.0072463768115942,3.296750902527076
86,2019-03,1026.8,115,140,284,1.2173913043478262,2.0285714285714285,3.6154929577464787
86,2019-04,848.2,105,126,254,1.2,2.015873015873016,3.3393700787401577
86,2019-05,889.3,104,128,259,1.2307692307692308,2.0234375,3.4335907335907336
86,2019-06,838.0,98,118,238,1.2040816326530612,2.016949152542373,3.5210084033613445
87,2018-07,315.0,39,40,70,1.0256410256410255,1.75,4.5
87,2018-08,301.2,37,39,69,1.054054054054054,1.7692307692307692,4.3652173913043475
87,2018-09,314.6,41,42,70,1.024390243902439,1.6666666666666667,4.494285714285715
87,2018-10,386.0,46,50,87,1.0869565217391304,1.74,4.436781609195402
87,2018-11,280.0,39,41,66,1.0512820512820513,1.6097560975609757,4.242424242424242
87,2018-12,430.1,52,55,94,1.0576923076923077,1.709090909090909,4.5755319148936175
87,2019-01,358.6,44,47,82,1.0681818181818181,1.7446808510638299,4.373170731707317
87,2019-02,294.2,37,40,66,1.0810810810810811,1.65,4.457575757575757
87,2019-03,327.7,37,41,73,1.1081081081081081,1.7804878048780488,4.489041095890411
87,2019-04,297.0,33,37,64,1.121212121212121,1.7297297297297298,4.640625
87,2019-05,343.1,48,49,79,1.0208333333333333,1.6122448979591837,4.343037974683544
